日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-01-02,601988,0.45,0.44,0.45,0.42,416326,108459528.0,6.67,-2.22,-0.01,0.02
2014-01-03,601988,0.43,0.39,0.44,0.39,455177,117134390.0,11.36,-11.36,-0.05,0.02
2014-01-06,601988,0.4,0.36,0.4,0.33,686747,173051055.0,17.95,-7.69,-0.03,0.04
2014-01-07,601988,0.34,0.35,0.35,0.32,532938,133574493.0,8.33,-2.78,-0.01,0.03
2014-01-08,601988,0.34,0.34,0.37,0.32,690879,173915463.0,14.29,-2.86,-0.01,0.04
2014-01-09,601988,0.34,0.33,0.36,0.32,453398,113973555.0,11.76,-2.94,-0.01,0.02
2014-01-10,601988,0.33,0.32,0.34,0.32,410091,102435148.0,6.06,-3.03,-0.01,0.02
2014-01-13,601988,0.33,0.35,0.35,0.33,294694,73908989.0,6.25,9.38,0.03,0.02
2014-01-14,601988,0.34,0.34,0.35,0.33,306263,76833354.0,5.71,-2.86,-0.01,0.02
2014-01-15,601988,0.34,0.34,0.35,0.33,506142,127028491.0,5.88,0.0,0.0,0.03
2014-01-16,601988,0.34,0.33,0.35,0.32,313816,78559188.0,8.82,-2.94,-0.01,0.02
2014-01-17,601988,0.33,0.31,0.33,0.31,413264,102918949.0,6.06,-6.06,-0.02,0.02
2014-01-20,601988,0.32,0.3,0.32,0.28,397979,98324278.0,12.9,-3.23,-0.01,0.02
2014-01-21,601988,0.29,0.3,0.31,0.29,331435,81900683.0,6.67,0.0,0.0,0.02
2014-01-22,601988,0.3,0.34,0.34,0.3,521029,129709012.0,13.33,13.33,0.04,0.03
2014-01-23,601988,0.33,0.31,0.33,0.31,401742,99927470.0,5.88,-8.82,-0.03,0.02
2014-01-24,601988,0.31,0.32,0.33,0.3,362897,90143605.0,9.68,3.23,0.01,0.02
2014-01-27,601988,0.31,0.31,0.32,0.29,437152,107888616.0,9.38,-3.13,-0.01,0.02
2014-01-28,601988,0.31,0.32,0.33,0.3,298073,74181701.0,9.68,3.23,0.01,0.02
2014-01-29,601988,0.33,0.36,0.36,0.32,390611,98209737.0,12.5,12.5,0.04,0.02
2014-01-30,601988,0.35,0.34,0.36,0.34,195957,49307902.0,5.56,-5.56,-0.02,0.01
2014-02-07,601988,0.33,0.32,0.33,0.31,216227,53884782.0,5.88,-5.88,-0.02,0.01
2014-02-10,601988,0.33,0.34,0.35,0.32,364737,91530212.0,9.38,6.25,0.02,0.02
2014-02-11,601988,0.34,0.38,0.39,0.33,606532,154036203.0,17.65,11.76,0.04,0.03
2014-02-12,601988,0.37,0.37,0.39,0.36,297369,75729081.0,7.89,-2.63,-0.01,0.02
2014-02-13,601988,0.37,0.38,0.4,0.36,484989,123653832.0,10.81,2.7,0.01,0.02
2014-02-14,601988,0.38,0.37,0.38,0.36,273423,69361069.0,5.26,-2.63,-0.01,0.01
2014-02-17,601988,0.37,0.38,0.39,0.37,314239,80066068.0,5.41,2.7,0.01,0.02
2014-02-18,601988,0.38,0.37,0.39,0.36,300070,76423836.0,7.89,-2.63,-0.01,0.02
2014-02-19,601988,0.37,0.46,0.5,0.36,1055676,274934624.0,37.84,24.32,0.09,0.05
2014-02-20,601988,0.45,0.44,0.47,0.43,456294,119251946.0,8.7,-4.35,-0.02,0.02
2014-02-21,601988,0.43,0.41,0.44,0.39,279837,72160543.0,11.36,-6.82,-0.03,0.01
2014-02-24,601988,0.4,0.36,0.41,0.34,298146,75493512.0,17.07,-12.2,-0.05,0.02
2014-02-25,601988,0.36,0.37,0.38,0.34,341588,86566653.0,11.11,2.78,0.01,0.02
2014-02-26,601988,0.36,0.34,0.37,0.33,200249,50406089.0,10.81,-8.11,-0.03,0.01
2014-02-27,601988,0.35,0.36,0.37,0.33,270549,68159894.0,11.76,5.88,0.02,0.01
2014-02-28,601988,0.35,0.34,0.36,0.33,293486,73678774.0,8.33,-5.56,-0.02,0.01
2014-03-03,601988,0.34,0.33,0.35,0.32,421132,105306370.0,8.82,-2.94,-0.01,0.02
2014-03-04,601988,0.33,0.33,0.33,0.31,266589,66354397.0,6.06,0.0,0.0,0.01
2014-03-05,601988,0.33,0.32,0.33,0.3,322687,80190882.0,9.09,-3.03,-0.01,0.02
2014-03-06,601988,0.31,0.33,0.33,0.3,198143,49231977.0,9.38,3.13,0.01,0.01
2014-03-07,601988,0.33,0.32,0.35,0.32,208098,52032533.0,9.09,-3.03,-0.01,0.01
2014-03-10,601988,0.31,0.29,0.32,0.28,367495,90680965.0,12.5,-9.38,-0.03,0.02
2014-03-11,601988,0.29,0.29,0.29,0.28,223208,54761670.0,3.45,0.0,0.0,0.01
2014-03-12,601988,0.29,0.28,0.3,0.27,292558,71755377.0,10.34,-3.45,-0.01,0.01
2014-03-13,601988,0.29,0.32,0.36,0.29,475255,118761666.0,25.0,14.29,0.04,0.02
2014-03-14,601988,0.32,0.3,0.32,0.28,328556,81115532.0,12.5,-6.25,-0.02,0.02
2014-03-17,601988,0.31,0.31,0.32,0.3,168384,41659367.0,6.67,3.33,0.01,0.01
2014-03-18,601988,0.31,0.3,0.32,0.29,177284,43828670.0,9.68,-3.23,-0.01,0.01
2014-03-19,601988,0.3,0.3,0.31,0.27,281581,69118478.0,13.33,0.0,0.0,0.01
2014-03-20,601988,0.29,0.29,0.32,0.28,270126,66762942.0,13.33,-3.33,-0.01,0.01
2014-03-21,601988,0.29,0.36,0.37,0.28,774737,193579863.0,31.03,24.14,0.07,0.04
2014-03-24,601988,0.37,0.37,0.38,0.34,423137,107119731.0,11.11,2.78,0.01,0.02
2014-03-25,601988,0.36,0.37,0.37,0.35,225567,57053604.0,5.41,0.0,0.0,0.01
2014-03-26,601988,0.36,0.37,0.38,0.36,259538,65895344.0,5.41,0.0,0.0,0.01
2014-03-27,601988,0.38,0.39,0.42,0.37,528978,135441914.0,13.51,5.41,0.02,0.03
2014-03-28,601988,0.4,0.41,0.44,0.39,933387,240626468.0,12.82,5.13,0.02,0.05
2014-03-31,601988,0.41,0.42,0.42,0.39,425169,109608502.0,7.32,2.44,0.01,0.02
2014-04-01,601988,0.41,0.42,0.43,0.4,310128,80239534.0,7.14,0.0,0.0,0.02
2014-04-02,601988,0.42,0.43,0.43,0.41,250858,65066097.0,4.76,2.38,0.01,0.01
2014-04-03,601988,0.43,0.41,0.43,0.4,380096,98250137.0,6.98,-4.65,-0.02,0.02
2014-04-04,601988,0.4,0.43,0.43,0.4,197807,51158059.0,7.32,4.88,0.02,0.01
2014-04-08,601988,0.43,0.47,0.48,0.41,560915,147236025.0,16.28,9.3,0.04,0.03
2014-04-09,601988,0.47,0.46,0.49,0.46,283255,74832757.0,6.38,-2.13,-0.01,0.01
2014-04-10,601988,0.46,0.5,0.5,0.45,482770,127713381.0,10.87,8.7,0.04,0.02
2014-04-11,601988,0.49,0.51,0.52,0.48,477306,127232701.0,8.0,2.0,0.01,0.02
2014-04-14,601988,0.5,0.5,0.52,0.47,387016,103174539.0,9.8,-1.96,-0.01,0.02
